"Step","resilient-blaze-9 - Smallest CBF constraint(unfiltered)","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MIN","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MAX"
"1397","-0.8701599836349487","-0.8701599836349487","-0.8701599836349487"
"1399","-0.6287893056869507","-0.6287893056869507","-0.6287893056869507"
"1401","-0.8448355197906494","-0.8448355197906494","-0.8448355197906494"
"1403","-0.47058361768722534","-0.47058361768722534","-0.47058361768722534"
"1405","-0.960399866104126","-0.960399866104126","-0.960399866104126"
"1409","-0.44111597537994385","-0.44111597537994385","-0.44111597537994385"
"1413","-0.6066915988922119","-0.6066915988922119","-0.6066915988922119"
"1415","-0.5670378804206848","-0.5670378804206848","-0.5670378804206848"
"1417","-0.6148360967636108","-0.6148360967636108","-0.6148360967636108"
"1419","-0.4050820469856262","-0.4050820469856262","-0.4050820469856262"
"1423","-0.22741913795471191","-0.22741913795471191","-0.22741913795471191"
"1425","-0.4713420569896698","-0.4713420569896698","-0.4713420569896698"
"1427","-0.6293677687644958","-0.6293677687644958","-0.6293677687644958"
"1429","-1.111067295074463","-1.111067295074463","-1.111067295074463"
"1433","-0.7642409801483154","-0.7642409801483154","-0.7642409801483154"
"1437","-0.6256698369979858","-0.6256698369979858","-0.6256698369979858"
"1439","-0.6944022178649902","-0.6944022178649902","-0.6944022178649902"
"1441","-0.3914473354816437","-0.3914473354816437","-0.3914473354816437"
"1443","-0.23297595977783203","-0.23297595977783203","-0.23297595977783203"
"1445","-0.4727481007575989","-0.4727481007575989","-0.4727481007575989"
"1449","-1.1757614612579346","-1.1757614612579346","-1.1757614612579346"
"1451","-1.4970325231552124","-1.4970325231552124","-1.4970325231552124"
"1455","-0.21196693181991577","-0.21196693181991577","-0.21196693181991577"
"1459","-0.182829812169075","-0.182829812169075","-0.182829812169075"
"1461","-0.2740733027458191","-0.2740733027458191","-0.2740733027458191"
"1463","-0.5981377959251404","-0.5981377959251404","-0.5981377959251404"
"1471","-0.45322808623313904","-0.45322808623313904","-0.45322808623313904"
"1477","-0.2278568595647812","-0.2278568595647812","-0.2278568595647812"
"1481","-0.8021155595779419","-0.8021155595779419","-0.8021155595779419"
"1485","-1.1750617027282715","-1.1750617027282715","-1.1750617027282715"
"1487","-0.8484359979629517","-0.8484359979629517","-0.8484359979629517"
"1489","-0.20636487007141113","-0.20636487007141113","-0.20636487007141113"
"1491","-0.23360556364059448","-0.23360556364059448","-0.23360556364059448"
"1493","0","0","0"
"1495","-0.593578577041626","-0.593578577041626","-0.593578577041626"
"1505","-0.30706748366355896","-0.30706748366355896","-0.30706748366355896"
"1513","-0.2809346318244934","-0.2809346318244934","-0.2809346318244934"
"1527","-0.20957641303539276","-0.20957641303539276","-0.20957641303539276"
"1529","-0.29452162981033325","-0.29452162981033325","-0.29452162981033325"
"1531","-1.6173368692398071","-1.6173368692398071","-1.6173368692398071"
"1533","-0.05479401350021362","-0.05479401350021362","-0.05479401350021362"
"1535","-0.6458721160888672","-0.6458721160888672","-0.6458721160888672"
